NAME                                                                          VERSION                                              TYPE         
github.com/charmbracelet/glamour                                              v0.5.1-0.20220727184942-e70ff2d969da                 go-module     
github.com/charmbracelet/lipgloss                                             v0.5.0                                               go-module     
github.com/checkpoint-restore/go-criu/v5                                      v5.3.0                                               go-module     
github.com/cilium/ebpf                                                        v0.7.0                                               go-module     
github.com/cli/browser                                                        v1.1.0                                               go-module     
github.com/cli/cli/v2                                                         82156f7fd2719f5cca9f8a8738ff4e61561d04aa             go-module     
github.com/cli/crypto                                                         v0.0.0-20210929142629-6be313f59b03                   go-module     
github.com/cli/go-gh                                                          v1.0.0                                               go-module     
github.com/cli/oauth                                                          v0.9.0                                               go-module     
github.com/cli/safeexec                                                       v1.0.1                                               go-module     
github.com/cli/shurcooL-graphql                                               v0.0.2                                               go-module     
github.com/compose-spec/compose-go                                            v1.4.0                                               go-module     
github.com/containerd/aufs                                                    v1.0.0                                               go-module     
github.com/containerd/btrfs                                                   v1.0.0                                               go-module     
github.com/containerd/cgroups                                                 v1.0.4                                               go-module     
github.com/containerd/console                                                 v1.0.3                                               go-module     
github.com/containerd/containerd                                              5b842e528e99d4d4c1686467debf2bd4b88ecd86             go-module     
github.com/containerd/containerd                                              v1.6.6                                               go-module     
github.com/containerd/continuity                                              v0.3.0                                               go-module     
github.com/containerd/fifo                                                    v1.0.0                                               go-module     
github.com/containerd/go-cni                                                  v1.1.6                                               go-module     
github.com/containerd/go-runc                                                 v1.0.0                                               go-module     
github.com/containerd/imgcrypt                                                v1.1.4                                               go-module     
github.com/containerd/nri                                                     v0.1.0                                               go-module     
github.com/containerd/ttrpc                                                   v1.1.0                                               go-module     
github.com/containerd/typeurl                                                 v1.0.2                                               go-module     
github.com/containerd/zfs                                                     v1.0.0                                               go-module     
github.com/containernetworking/cni                                            v1.1.1                                               go-module     
github.com/containernetworking/plugins                                        v1.1.1                                               go-module     
github.com/containers/ocicrypt                                                v1.1.3                                               go-module     
github.com/coreos/go-systemd/v22                                              v22.3.2                                              go-module     
github.com/cpuguy83/go-md2man/v2                                              v2.0.0                                               go-module     
github.com/cpuguy83/go-md2man/v2                                              v2.0.0-20190314233015-f79a8a8ca69d                   go-module     
github.com/cyphar/filepath-securejoin                                         v0.2.3                                               go-module     
github.com/davecgh/go-spew                                                    v1.1.1                                               go-module     
